iter	RMSE
253	11922.70407
254	11913.38712
255	11904.95011
256	11890.14081
257	11880.89633
258	11873.58046
259	11847.05151
260	11830.28337
261	11815.80515
262	11796.63151
263	11790.20234
264	11776.44596
265	11766.35225
266	11751.974
267	11737.98585
268	11722.86292
269	11713.29441
270	11698.89264
271	11690.96957
272	11683.05588
273	11669.94268
274	11657.46247
275	11644.69505
276	11630.13804
277	11604.5743
278	11584.86212
279	11571.29314
280	11561.94063
281	11548.19901
282	11533.67848
283	11522.69572
284	11511.86413
285	11493.75514
286	11480.83931
287	11465.92811
288	11457.6891
289	11449.28152
290	11436.79509
291	11422.11708
292	11412.02928
293	11401.01202
294	11385.02014
295	11368.86111
296	11358.34384
297	11356.39122
298	11344.94769
299	11331.94782
300	11321.87543
301	11312.48785
302	11301.73069
303	11273.33919
304	11271.46735
305	11270.3567
306	11257.31039
307	11231.75228
308	11224.23085
309	11209.24364
310	11196.7278
311	11182.50725
312	11173.49076
313	11162.8299
314	11159.1781
315	11149.76773
316	11135.47179
317	11122.03017
318	11110.50997
319	11094.18271
320	11083.17611
321	11065.7377
322	11058.65235
323	11045.1968
324	11029.23494
325	11011.99544
326	11010.9305
327	10999.04854
328	10990.1841
329	10982.55816
330	10973.50695
331	10964.90446
332	10953.20639
333	10944.56784
334	10927.46069
335	10906.14925
336	10899.59857
337	10890.59131
338	10877.57674
339	10871.18746
340	10849.25407
341	10822.6614
342	10815.48813
343	10800.00476
344	10778.48801
345	10770.89526
346	10756.5046
347	10752.21629
348	10741.56248
349	10728.03367
350	10711.05809
351	10696.37998
352	10687.48455
353	10682.93369
354	10670.15902
355	10652.44723
356	10627.66843
357	10620.05654
358	10606.24149
359	10598.51039
360	10576.85941
361	10560.76423
362	10549.75173
363	10540.99643
364	10537.03976
365	10536.32804
366	10527.2466
367	10517.30072
368	10515.36249
369	10504.12809
370	10488.38066
371	10487.60272
372	10486.94784
373	10480.44903
374	10479.7961
375	10459.88765
376	10450.63752
377	10430.36111
378	10410.15275
379	10389.99349
380	10376.1207
381	10362.86981
382	10362.25799
383	10353.34861
384	10333.84722
385	10314.00346
386	10307.48473
387	10288.13779
388	10275.58483
389	10262.09652
390	10246.33486
391	10245.35011
392	10224.60871
393	10217.90985
394	10206.97542
395	10186.07275
396	10172.70415
397	10161.86715
398	10157.38612
399	10148.37546
400	10142.24449
401	10129.65807
402	10129.05079
403	10119.07338
404	10115.5152
405	10110.75712
406	10088.11568
407	10080.19945
408	10072.57985
409	10049.72151
410	10036.17172
411	10023.40879
412	10017.22132
413	10000.49598
414	9988.810109
415	9986.031178
416	9977.233294
417	9969.446092
418	9961.913698
419	9960.659157
420	9946.322035
421	9937.294774
422	9933.205045
423	9926.882508
424	9917.34576
425	9906.676871
426	9900.188257
427	9892.997787
428	9880.615078
429	9873.249945
430	9861.967505
431	9855.775713
432	9845.847791
433	9835.391633
434	9834.820819
435	9827.877953
436	9817.717408
437	9798.963298
438	9790.36171
439	9781.382528
440	9780.887987
441	9770.669183
442	9764.24753
443	9755.804294
444	9743.261134
445	9728.551915
446	9718.769283
447	9718.340297
448	9705.597321
449	9695.625337
450	9690.043394
451	9681.432969
452	9680.886868
453	9673.633025
454	9666.823441
455	9658.069974
456	9652.751135
457	9645.078912
458	9633.701864
459	9623.300678
460	9611.163332
461	9592.300178
462	9575.069255
463	9565.466956
464	9564.976943
465	9553.273323
466	9534.421808
467	9526.751972
468	9514.57836
469	9505.367802
470	9497.374849
471	9486.825999
472	9477.935341
473	9467.43259
474	9461.156598
475	9448.949092
476	9440.9081
477	9427.92666
478	9415.102595
479	9412.465854
480	9400.677949
481	9387.37233
482	9373.357092
483	9370.418141
484	9356.476037
485	9347.343349
486	9342.56861
487	9331.673641
488	9326.399522
489	9318.777941
490	9308.911002
491	9300.76698
492	9289.33138
493	9277.531823
494	9269.602329
495	9257.804121
496	9252.703984
497	9245.326814
498	9234.873584
499	9224.010562
500	9215.389014
501	9206.510447
502	9200.804198
503	9197.01688
504	9190.44435
505	9181.179514
506	9173.565047
507	9164.9639
508	9156.878617
509	9151.17849
510	9144.321797
511	9139.436395
512	9129.367195
513	9119.841381
514	9110.317182
515	9103.562301
516	9093.730331
517	9093.243965
518	9079.424298
519	9068.638876
520	9061.237324
521	9055.549091
522	9041.705343
523	9030.34871
524	9018.259076
525	9014.915699
526	9012.388754
527	9001.543294
528	8991.650645
529	8985.528061
530	8975.614942
531	8962.120626
532	8955.346092
533	8940.017346
534	8934.642135
535	8923.85108
536	8913.147187
537	8903.769185
538	8890.216498
539	8883.452485
540	8875.629942
541	8859.414769
542	8856.227073
543	8848.806243
544	8843.157997
545	8833.544945
546	8818.532101
547	8813.143148
548	8805.300925
549	8799.270443
550	8791.521085
551	8779.096191
552	8770.237003
553	8766.409483
554	8765.325449
555	8757.575237
556	8749.149977
557	8746.90289
558	8740.72831
559	8732.424926
560	8722.671965
561	8715.47175
562	8707.359769
563	8695.565719
564	8687.72106
565	8683.645811
566	8676.407468
567	8676.023061
568	8672.425473
569	8662.332984
570	8658.82919
571	8656.873685
572	8649.114881
573	8641.676592
574	8634.868572
575	8626.788306
576	8619.803161
577	8605.699418
578	8587.052848
579	8580.062677
580	8578.79644
581	8562.691254
582	8557.736975
583	8552.287967
584	8548.483687
585	8543.210258
586	8533.597395
587	8523.211019
588	8516.406793
589	8507.115585
590	8506.745748
591	8496.407885
592	8494.645393
593	8488.163044
594	8484.529993
595	8474.616867
596	8468.358262
597	8463.70112
598	8456.059403
599	8449.018218
600	8447.298988
601	8439.825141
602	8431.317995
603	8417.857431
604	8408.984836
605	8405.379592
606	8389.170562
607	8381.035081
608	8379.838652
609	8371.718925
610	8368.535665
611	8360.050843
612	8357.534829
613	8357.022583
614	8350.587756
615	8349.849991
616	8343.232599
617	8338.714505
618	8325.606963
619	8318.900023
620	8308.897336
621	8302.818213
622	8299.565213
623	8289.008082
624	8288.284837
625	8284.853209
626	8278.927965
627	8275.372368
628	8261.443352
629	8254.852064
630	8247.06781
631	8241.170723
632	8234.313464
633	8227.952016
634	8224.671375
635	8220.57119
636	8213.170291
637	8203.135347
638	8198.209993
639	8193.045615
640	8180.017153
641	8175.473982
642	8167.71429
643	8158.14614
644	8149.250374
645	8145.660564
646	8140.575524
647	8131.181173
648	8125.827323
649	8121.318065
650	8114.78475
651	8106.696074
652	8098.19712
653	8090.719201
654	8080.398215
655	8079.367268
656	8070.746712
657	8061.741157
658	8056.592304
659	8050.174918
660	8044.800887
661	8038.922189
662	8032.311945
663	8029.16114
664	8022.281727
665	8015.11065
666	8010.102118
667	7998.912482
668	7984.310844
669	7980.325582
670	7970.878457
671	7965.890554
672	7955.319626
673	7945.711425
674	7943.739113
675	7931.850148
676	7920.196468
677	7913.005596
678	7900.828454
679	7896.523493
680	7890.655132
681	7886.231373
682	7876.8598
683	7867.804314
684	7866.718331
685	7858.946923
686	7851.779643
687	7846.268108
688	7843.107967
689	7837.693321
690	7835.006197
691	7834.219158
692	7825.948731
693	7820.356504
694	7813.530397
695	7808.15583
696	7804.094369
697	7793.264471
698	7787.318969
699	7781.687621
700	7772.217874
701	7760.975746
702	7758.103734
703	7757.758369
704	7753.302848
705	7752.944833
706	7745.874415
707	7739.340661
708	7728.489431
709	7722.43994
710	7721.287372
711	7719.278848
712	7718.022806
713	7714.607019
714	7708.532888
715	7703.802879
716	7698.949994
717	7691.828261
718	7680.601787
719	7672.087026
720	7667.046142
721	7664.374424
722	7662.637207
723	7655.428575
724	7652.027964
725	7648.022361
726	7639.053957
727	7630.512681
728	7619.011006
729	7617.023562
730	7612.125507
731	7608.307733
732	7598.842697
733	7591.676646
734	7587.797319
735	7582.638613
736	7582.356744
737	7578.263983
738	7574.947096
739	7571.980459
740	7563.954492
741	7559.540267
742	7553.923307
743	7546.945705
744	7544.036895
745	7540.459649
746	7537.743367
747	7530.583226
748	7518.307925
749	7515.335197
750	7514.996995
751	7506.748341
752	7502.605576
753	7498.760492
754	7494.976595
755	7489.501443
756	7478.401002
757	7477.261379
758	7469.571354
759	7457.9755
760	7457.724167
761	7450.727516
762	7447.918458
763	7444.638879
764	7439.458657
765	7439.258569
766	7434.20619
767	7432.090371
768	7428.20022
769	7420.11509
770	7416.865311
771	7407.095702
772	7401.9163
773	7396.126958
774	7394.007428
775	7389.380096
776	7383.836769
777	7380.912916
778	7374.131614
779	7370.181343
780	7368.81511
781	7364.480444
782	7358.047732
783	7349.885768
784	7349.67695
785	7348.572501
786	7344.1519
787	7339.898566
788	7328.691298
789	7326.659356
790	7325.745488
791	7323.10462
792	7317.756568
793	7305.308531
794	7297.6711
795	7294.67989
796	7288.101329
797	7283.554275
798	7277.691655
799	7274.579003
800	7271.841868
801	7264.622951
802	7264.15537
803	7256.595219
804	7250.418178
805	7246.423528
806	7240.575132
807	7239.118218
808	7237.8989
809	7236.565583
810	7231.424315
811	7222.025108
812	7218.870676
813	7208.593789
814	7197.471121
815	7190.604361
816	7186.728276
817	7184.55217
818	7175.11679
819	7171.264996
820	7164.039477
821	7160.578025
822	7152.356877
823	7149.41296
824	7146.263888
825	7142.677479
826	7139.428081
827	7138.130265
828	7131.910511
829	7130.067518
830	7126.728233
831	7118.855573
832	7118.592779
833	7118.195099
834	7111.902443
835	7110.841277
836	7109.852712
837	7105.909115
838	7102.003979
839	7098.683333
840	7095.81692
841	7088.774136
842	7081.45911
843	7076.451762
844	7070.275659
845	7059.432693
846	7055.624568
847	7053.277682
848	7048.318511
849	7039.392124
850	7038.649303
851	7034.119175
852	7029.545796
853	7028.349149
854	7025.57999
855	7022.972465
856	7010.91096
857	7000.420208
858	6994.675358
859	6987.414595
860	6983.071275
861	6982.098432
862	6972.657031
863	6962.820566
864	6952.569733
865	6947.498407
866	6943.261225
867	6938.332056
868	6932.837569
869	6925.313945
870	6920.636702
871	6914.200496
872	6908.390143
873	6903.461253
874	6902.627265
875	6898.091453
876	6896.732076
877	6891.521265
878	6888.937031
879	6886.40789
880	6881.92484
881	6880.291288
882	6875.070188
883	6871.634877
884	6865.731572
885	6862.332824
886	6857.581093
887	6853.558923
888	6839.67833
889	6836.816507
890	6832.943517
891	6827.572048
892	6823.485903
893	6817.205159
894	6814.066054
895	6808.384215
896	6799.259413
897	6794.712304
898	6789.939727
899	6784.333429
900	6782.763561
901	6781.075025
902	6780.078909
903	6777.610377
904	6773.648034
905	6771.200263
906	6765.546733
907	6765.352492
908	6759.971281
909	6753.390988
910	6747.494289
911	6735.048477
912	6731.406656
913	6723.453541
914	6719.883527
915	6713.129582
916	6710.801973
917	6703.409073
918	6695.620914
919	6693.567942
920	6691.034883
921	6685.898437
922	6681.872511
923	6676.993759
924	6675.965428
925	6668.88947
926	6665.870125
927	6658.690062
928	6658.55687
929	6655.655256
930	6651.013172
931	6648.112026
932	6643.607497
933	6641.360199
934	6635.815367
935	6635.648157
936	6630.830317
937	6627.053448
938	6625.803241
939	6622.831601
940	6619.838163
941	6617.310166
942	6605.806292
943	6603.618403
944	6599.469364
945	6596.703699
946	6593.099021
947	6591.510314
948	6590.681059
949	6588.0147
950	6582.062816
951	6579.572657
952	6576.486599
953	6573.973899
954	6566.810511
955	6564.1859
956	6556.108104
957	6554.263821
958	6551.310381
959	6550.512386
960	6547.373662
961	6540.564728
962	6532.659362
963	6531.482269
964	6525.698514
965	6519.121555
966	6510.862532
967	6504.989519
968	6497.473638
969	6494.366791
970	6491.575899
971	6487.02783
972	6483.80315
973	6478.254636
974	6471.95284
975	6470.363038
976	6464.686744
977	6459.941223
978	6454.583324
979	6452.979205
980	6450.200471
981	6441.24504
982	6439.701545
983	6433.326762
984	6430.258572
985	6423.500418
986	6421.336996
987	6416.151974
988	6413.625887
989	6410.072944
990	6408.242189
991	6405.307501
992	6404.023668
993	6400.347158
994	6392.731611
995	6390.965893
996	6388.782306
997	6383.330166
998	6378.905951
999	6376.075503
	6246.117912
7
