iter	Passed	Remaining
0	22	22193
1	27	13601
2	41	13882
3	44	11195
4	48	9579
5	53	8851
6	58	8300
7	62	7721
8	67	7438
9	73	7325
10	110	9975
11	131	10795
12	135	10286
13	139	9811
14	143	9397
15	146	9038
16	150	8729
17	173	9482
18	176	9111
19	180	8846
20	184	8622
21	188	8382
22	192	8166
23	196	7980
24	201	7861
25	204	7665
26	215	7773
27	221	7696
28	225	7556
29	229	7413
30	234	7315
31	255	7718
32	259	7602
33	265	7553
34	269	7432
35	281	7549
36	287	7480
37	291	7369
38	297	7326
39	303	7276
40	309	7229
41	313	7153
42	320	7125
43	324	7054
44	328	6980
45	336	6987
46	342	6941
47	347	6893
48	351	6816
49	354	6741
50	358	6669
51	362	6607
52	366	6544
53	374	6567
54	380	6533
55	384	6484
56	387	6414
57	393	6390
58	408	6518
59	412	6461
60	416	6404
61	424	6419
62	430	6395
63	433	6338
64	436	6285
65	443	6270
66	451	6287
67	455	6241
68	459	6193
69	462	6145
70	465	6089
71	468	6034
72	471	5988
73	477	5971
74	487	6011
75	490	5969
76	504	6052
77	519	6136
78	525	6122
79	536	6168
80	539	6118
81	542	6078
82	545	6030
83	552	6027
84	570	6143
85	586	6237
86	591	6207
87	603	6254
88	608	6227
89	612	6190
90	615	6150
91	619	6113
92	625	6105
93	646	6228
94	654	6239
95	665	6267
96	670	6242
97	693	6380
98	697	6351
99	710	6398
100	720	6408
101	731	6442
102	735	6407
103	739	6373
104	746	6366
105	754	6363
106	780	6516
107	785	6489
108	791	6469
109	796	6440
110	802	6428
111	807	6399
112	817	6413
113	825	6413
114	829	6383
115	836	6375
116	840	6346
117	844	6311
118	857	6350
119	861	6317
120	868	6305
121	874	6294
122	877	6255
123	880	6222
124	884	6192
125	887	6156
126	891	6126
127	894	6094
128	906	6118
129	915	6125
130	921	6114
131	933	6139
132	938	6117
133	946	6119
134	956	6129
135	962	6114
136	970	6110
137	978	6112
138	1006	6237
139	1010	6208
140	1021	6223
141	1032	6240
142	1058	6344
143	1062	6317
144	1065	6280
145	1071	6269
146	1082	6283
147	1086	6255
148	1094	6249
149	1105	6265
150	1111	6252
151	1119	6246
152	1134	6278
153	1144	6287
154	1157	6307
155	1161	6285
156	1166	6264
157	1173	6253
