iter	Logloss
0	0.6736231894
1	0.6551995075
2	0.6394048416
3	0.620832094
4	0.6028396855
5	0.5876305719
6	0.569839164
7	0.5546298728
8	0.5430703426
9	0.5283155315
10	0.5129233656
11	0.5000239541
12	0.4915091236
13	0.4787684372
14	0.4659120489
15	0.4537942675
16	0.4403845533
17	0.4270085285
18	0.4175012472
19	0.4082425615
20	0.3959504105
21	0.3864864952
22	0.3770640826
23	0.3678963187
24	0.3578297813
25	0.3490505566
26	0.3406247402
27	0.3325717178
28	0.3228313749
29	0.314116746
30	0.3059826423
31	0.2979196776
32	0.2917142692
33	0.2836080317
34	0.2766674359
35	0.2706383483
36	0.263683006
37	0.2573572452
38	0.2513703354
39	0.2456508613
40	0.2395697228
41	0.2351550077
42	0.2290077568
43	0.2244475855
44	0.2189427036
45	0.2144216255
46	0.2097104813
47	0.2051975272
48	0.2012795964
49	0.1965698165
50	0.1928476713
51	0.1892959268
52	0.1853564333
53	0.1822170761
54	0.1783568026
55	0.1750400498
56	0.1705182811
57	0.1666945009
58	0.1639144947
59	0.1602827601
60	0.1569733124
61	0.1535818767
62	0.1505096345
63	0.1472549391
64	0.144098985
65	0.1410218621
66	0.1378061561
67	0.1345759525
68	0.1317377465
69	0.1295651179
70	0.1264736591
71	0.1234757043
72	0.1208027657
73	0.1183136061
74	0.1162893235
75	0.1142789501
76	0.1120493221
77	0.1100095506
78	0.1078112634
79	0.1060322639
80	0.1036438873
81	0.1015226931
82	0.09926610337
83	0.09778137634
84	0.09615913332
85	0.09419455313
86	0.09281019876
87	0.09136245074
88	0.08996318453
89	0.08843275984
90	0.08706949286
91	0.08582729283
92	0.08453159529
93	0.08318106932
94	0.081760625
95	0.08055889991
96	0.07943289888
97	0.07806257104
98	0.07657334021
99	0.07538076537
100	0.07434692184
101	0.07309213637
102	0.07195645127
103	0.07080550162
104	0.06948512991
105	0.06828046219
106	0.06728215263
107	0.06618788997
108	0.06505711693
109	0.06425193995
110	0.06315570273
111	0.06245964168
112	0.06152420965
113	0.060377594
114	0.05968268677
115	0.05873050844
116	0.05805945379
117	0.05716394559
118	0.05614338794
119	0.05528882277
120	0.05451030738
121	0.05388085109
122	0.05357335759
123	0.0529023228
124	0.05229518757
125	0.0513763917
126	0.05071731168
127	0.05005904605
128	0.04919474656
129	0.04846412143
130	0.04775587798
131	0.04714500174
132	0.046579337
133	0.04605015051
134	0.04544536934
135	0.04473365683
136	0.04414934823
137	0.04365908028
138	0.0432091261
139	0.04273615318
140	0.04226116788
141	0.04169631743
142	0.04102963278
143	0.04059202976
144	0.04032972187
145	0.03983493838
146	0.03958704662
147	0.03905965981
148	0.03863454691
149	0.03825083558
150	0.0380366592
151	0.03747343869
152	0.03700626324
153	0.03653976459
154	0.03607014592
155	0.03562287388
156	0.03524634952
157	0.03485402628
158	0.03448522192
159	0.03397932034
160	0.03354342891
161	0.03308140954
162	0.03260364363
163	0.03219375087
164	0.0318207908
165	0.03153934183
166	0.03120815122
167	0.03080578313
168	0.03046840904
169	0.03016327725
170	0.02983081303
171	0.02958362711
172	0.02930847749
173	0.02914237303
174	0.02880481894
175	0.02848167677
176	0.028172246
177	0.02795200465
178	0.02774577141
179	0.02751111996
180	0.02726857508
181	0.02698482664
182	0.02668540362
183	0.02650791581
184	0.02625906082
185	0.02598728345
186	0.02580106073
187	0.02559026726
188	0.02540180292
189	0.02517893434
190	0.0249392684
191	0.02471093659
192	0.02445638207
193	0.02415146571
194	0.02396734194
195	0.02373722404
196	0.02351965573
197	0.02323205082
198	0.02298745568
199	0.02273561875
200	0.02248798374
201	0.02227823996
202	0.02210680464
203	0.02188810271
204	0.0217479595
205	0.02156530577
206	0.02133701671
207	0.0210893289
208	0.0209365269
209	0.02077679555
210	0.02060570385
211	0.02043147732
212	0.02034873354
213	0.02022478919
214	0.02004619953
215	0.01990681189
216	0.01980404207
217	0.01963557038
218	0.01946289444
219	0.01924761354
220	0.01907007326
221	0.01895610597
222	0.01883105515
223	0.01867651826
224	0.01851090572
225	0.01837404048
226	0.01826969405
227	0.0181608531
228	0.01800272664
229	0.01788055376
230	0.01778267891
231	0.01764206176
232	0.0175734506
233	0.01746405629
234	0.01728204995
235	0.0171031572
236	0.01696625446
237	0.01684808055
238	0.01669862905
239	0.01661795168
240	0.01651424869
241	0.01640278239
242	0.01628100297
243	0.0161192256
244	0.01599427915
245	0.01587887203
246	0.01578900231
247	0.01564949557
248	0.01555203245
249	0.01547152574
250	0.01539348965
251	0.01528615282
252	0.01519991846
253	0.01510866235
254	0.01500519173
255	0.01489858509
256	0.0147878173
257	0.0147048744
258	0.01458980227
259	0.01449551732
260	0.01443394135
261	0.01435165412
262	0.01423777912
263	0.01416588301
264	0.01406444087
265	0.01397042962
266	0.01384300086
267	0.0137706679
268	0.01368274138
269	0.01357807509
270	0.01349410147
271	0.01343605413
272	0.01333467785
273	0.01321966912
274	0.01311609929
275	0.01305148998
276	0.01297153368
277	0.01290054024
278	0.01283810597
279	0.01276045461
280	0.01270093293
281	0.01262163426
282	0.01256585495
283	0.01250150948
284	0.01241077472
285	0.01232369782
286	0.01226392541
287	0.01223509608
288	0.01215156804
289	0.0120776524
290	0.01200997667
291	0.01193505031
292	0.01187362404
293	0.01183186885
294	0.01176242826
295	0.01171345911
296	0.0116544405
297	0.01158215462
298	0.01152878357
299	0.01145674901
300	0.01139335107
301	0.01134041585
302	0.01127858468
303	0.01120510865
304	0.01112876126
305	0.01106805357
306	0.01102098322
307	0.01099041758
308	0.01093265543
309	0.0108647817
310	0.01080156938
311	0.01075276572
312	0.01072234399
313	0.0106754394
314	0.01059261704
315	0.01053846761
316	0.01045735462
317	0.01039049573
318	0.01032734306
319	0.01027009007
320	0.01021693049
321	0.01017812913
322	0.01010191795
323	0.01005436299
324	0.009996998853
325	0.009940749736
326	0.009890368706
327	0.009847630527
328	0.009810216831
329	0.009762625353
330	0.009724428049
331	0.009673090849
332	0.009627043738
333	0.009593267262
334	0.009566409496
335	0.009518315373
336	0.00947034732
337	0.009431314454
338	0.009377130836
339	0.009335824423
340	0.009313925151
341	0.009270029961
342	0.009237807209
343	0.009204566569
344	0.009172903516
345	0.009124396659
346	0.009087300652
347	0.009039343758
348	0.008997678439
349	0.00895581397
350	0.008920439057
351	0.008886425879
352	0.008857640694
353	0.008805240364
354	0.008767208293
355	0.008729114681
356	0.008696603746
357	0.008637885634
358	0.008596229668
359	0.008560972322
360	0.008519051012
361	0.008475989999
362	0.008443653349
363	0.008401761894
364	0.008360443663
365	0.008316572986
366	0.008284234882
367	0.008252148662
368	0.00821795679
369	0.008193959539
370	0.008156390112
371	0.008121487392
372	0.008090920337
373	0.008063177907
374	0.008025566926
