iter	RMSE
0	21.86289235
1	21.68708112
2	21.48192715
3	21.29908569
4	21.13809234
5	20.96591435
6	20.80163448
7	20.64650931
8	20.5005342
9	20.38363898
10	20.25530199
11	20.13736219
12	20.00583555
13	19.89043182
14	19.79037521
15	19.68504766
16	19.59034996
17	19.48596165
18	19.38599616
19	19.30176316
20	19.22035599
21	19.14586235
22	19.07841271
23	19.00602752
24	18.92748509
25	18.84607567
26	18.79462239
27	18.72883554
28	18.6744738
29	18.62090662
30	18.56860912
31	18.53296892
32	18.47664368
33	18.43278842
34	18.38573895
35	18.33388112
36	18.2855464
37	18.23981617
38	18.20529296
39	18.17484156
40	18.13746634
41	18.10835347
42	18.06644919
43	18.02980105
44	17.98790169
45	17.95793846
46	17.92275798
47	17.89486475
48	17.86969415
49	17.84857178
50	17.81278509
51	17.77757057
52	17.74692717
53	17.72950989
54	17.71287421
55	17.68594739
56	17.65428994
57	17.62197119
58	17.58640008
59	17.55191293
60	17.52496821
61	17.50691942
62	17.49735653
63	17.47345565
64	17.43863804
65	17.41073713
66	17.38112271
67	17.35688786
68	17.33787506
69	17.30401102
70	17.28497203
71	17.26124009
72	17.23184124
73	17.20668464
74	17.18989176
75	17.16336299
76	17.13875701
77	17.12483442
78	17.10503484
79	17.07803983
80	17.06210452
81	17.03992436
82	17.01456101
83	16.9993107
84	16.99591614
85	16.97312529
86	16.95264323
87	16.94708356
88	16.93081236
89	16.91584285
90	16.90359063
91	16.88339165
92	16.86196751
93	16.8393335
94	16.82596384
95	16.79929332
96	16.77532556
97	16.75848745
98	16.7405566
99	16.72165943
100	16.69933997
101	16.68513513
102	16.66992769
103	16.6475203
104	16.62053043
105	16.60235795
106	16.58028947
107	16.55935465
108	16.54855922
109	16.5268404
110	16.51158329
111	16.50576152
112	16.48891299
113	16.4706326114	16.99235476
115	16.97461863
116	16.95262923
117	16.93884153
118	16.91829109
119	16.90356388
120	16.88128817
121	16.86457547
122	16.85170466
123	16.83619711
124	16.81646169
125	16.80952384
126	16.79257135
127	16.78267816
128	16.77689011
129	16.75930482
130	16.73518074
131	16.72585573
132	16.70805372
133	16.69017511
134	16.66404183
135	16.64312435
136	16.63351833
137	16.62174185
138	16.59554303
139	16.5806561
140	16.56446866
141	16.54696978
142	16.53567954
143	16.52412243
144	16.51084828
145	16.49872422
146	16.48642964
147	16.45874152
148	16.44111115
149	16.42937238
150	16.41069239
151	16.39954343
152	16.37958654
153	16.3582985
154	16.34857742
155	16.34076927
156	16.32312683
157	16.30068705
158	16.28407923
159	16.273513
160	16.25425378
161	16.22239087
162	16.21095405
163	16.19675861
164	16.18594035
165	16.17098388
166	16.15521569
167	16.13696808
168	16.12513291
169	16.10509736
170	16.09397884
171	16.0848064
172	16.06403863
