iter	Passed	Remaining
0	8	8536
1	14	7381
2	21	7253
3	29	7328
4	33	6665
5	36	6049
6	48	6898
7	56	6992
8	65	7179
9	73	7243
10	79	7126
11	87	7177
12	97	7427
13	104	7369
14	133	8746
15	143	8804
16	154	8908
17	162	8879
18	171	8836
19	179	8796
20	185	8627
21	190	8480
22	200	8509
23	206	8380
24	216	8445
25	231	8689
26	234	8448
27	246	8557
28	256	8572
29	274	8883
30	327	10244
31	337	10202
32	342	10038
33	362	10295
34	369	10195
35	380	10178
36	403	10494
37	423	10717
38	429	10576
39	431	10345
40	434	10151
41	435	9931
42	438	9751
43	441	9601
44	445	9446
45	449	9315
46	452	9167
47	455	9030
48	458	8890
49	459	8736
50	462	8612
51	465	8482
52	468	8365
53	470	8234
54	471	8108
55	475	8008
56	478	7915
57	481	7819
58	484	7724
59	487	7630
60	489	7537
61	491	7442
62	493	7340
63	496	7258
64	498	7168
65	501	7091
66	503	7012
67	506	6944
68	509	6876
69	512	6806
70	515	6742
71	518	6678
72	520	6615
73	524	6559
74	526	6491
75	528	6430
76	532	6377
77	534	6319
78	537	6264
79	540	6211
80	542	6151
81	545	6103
82	548	6057
83	551	6013
84	552	5946
85	555	5902
86	559	5866
87	561	5818
88	564	5780
89	568	5743
90	571	5708
91	575	5676
92	578	5641
93	581	5609
94	585	5574
95	588	5541
96	591	5506
97	595	5476
98	598	5442
99	600	5408
100	603	5375
101	606	5341
102	609	5311
103	613	5284
104	616	5255
105	619	5226
106	622	5199
107	626	5171
108	629	5142
109	632	5119
110	635	5092
111	638	5060
112	641	5034
113	644	5009
1114	1158	8916
115	1182	9008
116	1196	9029
117	1207	9029
118	1214	8993
119	1232	9039
120	1250	9084
121	1274	9170
122	1286	9175
123	1292	9132
124	1295	9071
125	1299	9014
126	1305	8972
127	1308	8917
128	1310	8848
129	1313	8792
130	1318	8746
131	1321	8689
132	1324	8632
133	1327	8581
134	1331	8528
135	1335	8482
136	1338	8432
137	1341	8380
138	1344	8328
139	1349	8292
140	1359	8281
141	1363	8237
142	1366	8189
143	1369	8139
144	1372	8092
145	1375	8048
146	1379	8004
147	1382	7957
148	1385	7911
149	1388	7866
150	1391	7821
151	1395	7786
152	1398	7743
153	1401	7701
154	1405	7660
155	1408	7620
156	1412	7582
157	1414	7538
158	1417	7497
159	1420	7458
160	1423	7416
161	1427	7382
162	1430	7344
163	1435	7318
164	1437	7276
165	1442	7248
166	1447	7218
167	1451	7189
168	1454	7152
169	1458	7123
170	1462	7087
171	1464	7049
172	1466	7011
173	1469	6974
174	1473	6946
175	1476	6914
176	1480	6883
177	1484	6853
178	1487	6820
179	1491	6792
180	1493	6756
181	1495	6719
182	1498	6689
183	1501	6659
184	1508	6643
185	1509	6604
186	1512	6575
187	1515	6547
188	1520	6525
189	1523	6496
190	1527	6468
191	1529	6436
192	1532	6407
193	1536	6382
194	1539	6355
195	1542	6327
196	1545	6299
197	1548	6271
198	1552	6250
199	1556	6224
200	1559	6197
201	1562	6173
202	1565	6148
203	1569	6125
204	1573	6100
205	1576	6075
206	1579	6050
207	1584	6034
208	1589	6015
209	1592	5989
210	1594	5964
211	1598	5941
212	1602	5920
213	1605	5896
214	1608	5874
215	1611	5850
216	1614	5826
217	1617	5803
218	1620	5780
219	1624	5758
220	1627	5736
221	1630	5714
222	1633	5692
223	1636	5669
224	1639	5647
225	1642	5626
226	1645	5602
227	1648	5581
228	1651	5559
229	1654	5538
230	1657	5517
231	1660	5498
232	1662	5472
233	1663	5446
234	1667	5427
235	1670	5409
236	1673	5388
237	1677	5369
238	1679	5348
239	1683	5329
240	1687	5313
241	1689	5292
242	1693	5275
243	1696	5256
244	1699	5237
245	1702	5218
246	1706	5201
247	1709	5183
248	1712	5165
249	1715	5145
250	1717	5126
251	1722	5112
252	1726	5096
253	1729	5078
254	1731	5060
255	1734	5040
256	1737	5023
257	1740	5006
258	1742	4986
259	1745	4969
260	1748	4951
261	1751	4933
262	1754	4917
263	1757	4900
264	1760	4883
265	1763	4866
266	1766	4849
267	1770	4835
268	1773	4818
269	1776	4801
270	1778	4785
271	1781	4768
272	1785	4754
273	1789	4740
274	1793	4728
275	1796	4712
276	1799	4696
277	1802	4680
278	1804	4664
279	1807	4648
280	1810	4632
281	1813	4616
282	1816	4602
283	1819	4587
284	1821	4570
285	1824	4555
286	1827	4539
287	1830	4526
288	1834	4512
289	1837	4498
290	1840	4485
291	1848	4482
292	1850	4466
293	1854	4452
294	1856	4437
295	1859	4423
296	1862	4408
297	1864	4393
298	1867	4378
299	1870	4364
300	1873	4350
301	1876	4336
302	1879	4322
303	1881	4308
304	1884	4294
305	1887	4281
306	1890	4267
307	1893	4254
308	1897	4242
309	1900	4229
310	1902	4215
311	1905	4202
312	1908	4188
313	1911	4175
314	1914	4162
315	1916	4149
316	1919	4136
317	1922	4122
318	1925	4110
319	1927	4096
320	1930	4083
321	1933	4070
322	1936	4057
323	1938	4044
324	1941	4032
325	1944	4020
326	1947	4008
327	1950	3995
328	1953	3983
329	1955	3971
330	1959	3959
331	1961	3947
332	1964	3935
333	1967	3923
334	1970	3911
335	1973	3899
336	1975	3887
337	1978	3874
338	1981	3862
339	1984	3851
340	1986	3839
341	1989	3827
342	1992	3816
343	1994	3804
344	1997	3792
345	2000	3781
346	2003	3769
347	2005	3757
348	2008	3746
349	2011	3736
350	2014	3725
351	2017	3714
352	2020	3703
353	2023	3692
354	2025	3680
355	2028	3670
356	2031	3659
357	2034	3647
358	2036	3636
359	2039	3625
360	2041	3614
361	2044	3603
362	2047	3593
363	2050	3582
364	2053	3571
365	2056	3561
366	2059	3551
367	2061	3540
368	2064	3530
369	2067	3519
370	2070	3509
371	2072	3499
372	2076	3489
373	2078	3479
374	2080	3467
375	2083	3457
376	2086	3448
377	2089	3437
378	2092	3428
379	2095	3418
380	2097	3408
381	2100	3397
382	2103	3388
383	2106	3378
384	2109	3369
385	2110	3357
386	2114	3348
387	2116	3339
388	2119	3328
389	2122	3319
390	2125	3310
391	2127	3300
392	2131	3291
393	2133	3282
394	2136	3272
395	2139	3263
396	2141	3253
397	2144	3244
398	2147	3234
399	2150	3225
400	2152	3216
401	2155	3206
402	2157	3196
403	2161	3188
404	2164	3179
405	2167	3170
406	2169	3161
407	2173	3153
408	2176	3144
409	2179	3135
410	2182	3127
411	2184	3117
412	2186	3108
413	2190	3100
414	2193	3091
415	2195	3082
416	2198	3073
417	2201	3065
418	2203	3055
419	2207	3048
420	2210	3039
421	2212	3030
422	2216	3023
423	2219	3015
424	2222	3006
425	2224	2997
426	2228	2989
427	2231	2982
428	2235	2975
429	2238	2967
430	2242	2960
431	2244	2951
432	2247	2943
433	2250	2935
434	2254	2928
435	2258	2921
436	2260	2912
437	2263	2903
438	2265	2895
439	2269	2888
440	2272	2880
441	2275	2873
442	2278	2865
443	2281	2857
444	2284	2849
445	2287	2841
446	2289	2832
447	2292	2824
448	2294	2815
449	2297	2807
450	2300	2800
451	2303	2793
452	2308	2787
453	2310	2779
454	2313	2771
455	2317	2764
456	2320	2756
457	2323	2749
458	2325	2741
459	2329	2734
460	2332	2726
461	2335	2719
462	2338	2711
463	2340	2703
464	2343	2696
465	2345	2688
466	2348	2680
467	2351	2673
468	2354	2665
469	2357	2658
470	2360	2651
471	2363	2644
472	2366	2636
473	2369	2629
474	2372	2622
475	2375	2614
476	2378	2607
477	2381	2600
478	2384	2593
479	2387	2586
480	2389	2578
481	2393	2571
482	2396	2564
483	2398	2557
