iter	Passed	Remaining
0	26	26052
1	29	14547
2	31	10601
3	50	12537
4	53	10596
5	67	11162
6	72	10321
7	76	9433
8	80	8830
9	89	8837
10	101	9101
11	104	8599
12	109	8321
13	113	7971
14	118	7749
15	132	8151
16	146	8457
17	163	8895
18	168	8689
19	172	8456
20	178	8338
21	205	9139
22	213	9062
23	220	8976
24	249	9717
25	268	10072
26	277	10004
27	285	9927
28	290	9728
29	304	9847
30	310	9696
31	315	9536
32	337	9885
33	347	9875
34	363	10023
35	377	10110
36	381	9922
37	386	9793
38	390	9626
39	394	9463
40	409	9585
41	421	9611
42	429	9554
43	434	9433
44	438	9297
45	441	9151
46	443	9002
47	446	8860
48	454	8827
49	457	8696
50	460	8575
51	465	8491
52	476	8517
53	482	8451
54	498	8562
55	506	8541
56	509	8427
57	519	8429
58	522	8338
59	530	8310
60	534	8230
61	559	8467
62	562	8373
63	578	8457
64	586	8432
65	606	8578
66	622	8673
67	632	8673
68	635	8581
69	639	8494
70	643	8420
71	648	8352
72	654	8312
73	657	8232
74	671	8278
75	676	8219
76	698	8374
77	703	8314
78	707	8249
79	713	8208
80	722	8201
81	727	8146
82	739	8174
83	749	8167
84	765	8238
85	770	8193
86	785	8246
87	812	8419
88	815	8349
89	821	8310
90	834	8333
91	895	8842
92	902	8801
93	937	9039
94	960	9152
95	992	9349
96	996	9274
97	1009	9289
98	1022	9302
99	1025	9231
100	1040	9263
101	1065	9381
102	1079	9403
103	1088	9375
104	1095	9336
105	1099	9274
106	1109	9256
107	1127	9309
108	1130	9240
109	1138	9209
110	1142	9148
111	1155	9162
112	1162	9121
113	1167	9076
114	1180	9085
115	1185	9030
116	1193	9008
117	1198	8959
118	1203	8910
119	1206	8847
120	1226	8910
121	1237	8908
122	1249	8910
123	1253	8855
124	1260	8823
125	1265	8779
126	1273	8754
127	1280	8724
128	1283	8667
129	1291	8639
130	1294	8585
131	1300	8550
132	1324	8633
133	1326	8575
134	1330	8525
135	1334	8479
136	1337	8427
137	1355	8468
138	1360	8427
139	1376	8453
140	1401	8539
141	1404	8484
142	1407	8438
143	1412	8394
144	1420	8375
145	1423	8328
146	1435	8329
147	1438	8279
148	1446	8263
149	1449	8212
150	1451	8163
151	1461	8155
152	1464	8107
153	1468	8065
154	1479	8063
155	1481	8016
156	1493	8021
157	1513	8067
158	1519	8035
159	1531	8038
160	1551	8086
161	1565	8100
162	1568	8054
163	1572	8014
164	1575	7974
165	1579	7937
166	1583	7896
167	1587	7864
168	1598	7862
169	1613	7877
170	1617	7841
171	1620	7802
172	1625	7768
173	1627	7727
174	1632	7697
175	1650	7728
176	1658	7709
177	1666	7697
178	1672	7670
179	1677	7640
180	1681	7607
181	1685	7575
182	1688	7538
183	1692	7504
184	1696	7475
185	1702	7449
186	1705	7415
187	1710	7385
188	1715	7361
189	1720	7335
190	1726	7310
191	1732	7290
192	1735	7194	1989	8212
195	2007	8235
196	2011	8199
197	2020	8183
198	2029	8170
199	2036	8145
200	2043	8124
201	2058	8132
202	2072	8134
203	2079	8113
204	2087	8095
205	2106	8119
206	2114	8101
207	2122	8083
208	2134	8077
209	2140	8051
210	2157	8067
211	2162	8038
212	2171	8022
213	2177	7997
214	2183	7972
215	2190	7951
216	2195	7921
217	2198	7886
218	2202	7854
219	2205	7820
220	2211	7795
221	2216	7768
222	2221	7739
223	2225	7710
224	2231	7685
225	2235	7654
226	2240	7628
227	2244	7601
228	2249	7573
229	2252	7540
230	2257	7515
231	2261	7485
232	2265	7458
233	2269	7429
234	2274	7405
235	2279	7380
236	2284	7353
237	2288	7326
238	2295	7309
239	2299	7281
240	2303	7253
241	2306	7223
242	2309	7193
243	2312	7163
244	2316	7137
245	2320	7113
246	2324	7086
247	2327	7057
248	2332	7035
